종로구 내수동,일반 슈퍼마켓,지씨마트,기저귀,[유한킴벌리]하기스 매직팬티 컴포트 기저귀 4단계(남아용 또는 여아용),19400 
종로구 내수동,일반 슈퍼마켓,지씨마트,두루마리화장지,[유한킴벌리]크리넥스 데코&소프트 3겹,24500 
종로구 내수동,일반 슈퍼마켓,지씨마트,생리대,[유한킴벌리]화이트 시크릿홀 울트라 슬림 날개 중형,5500 
종로구 내수동,일반 슈퍼마켓,지씨마트,생리대,[유한킴벌리]좋은느낌 울트라 에어핏쿠션 날개 중형,5900 
종로구 내수동,일반 슈퍼마켓,지씨마트,샴푸,[아모레퍼시픽]려 샴푸,9000 
종로구 내수동,일반 슈퍼마켓,지씨마트,세탁세제,[애경산업]스파크 리필,9800 
종로구 내수동,일반 슈퍼마켓,지씨마트,세탁세제,[LG생활건강]테크리필(4대 얼룩강력제거),9300 
종로구 내수동,일반 슈퍼마켓,지씨마트,세탁세제,"[헨켈홈케어코리아]퍼실파워젤(액체,드럼용)",19000 
종로구 동숭동,일반 슈퍼마켓,롯데마트999,과자(파이),[오리온]초코파이,3990 
종로구 동숭동,일반 슈퍼마켓,롯데마트999,과자(파이),[롯데제과]몽쉘카카오생크림케이크,4900 
종로구 동숭동,일반 슈퍼마켓,롯데마트999,과자(스낵),[농심]새우깡,1290 
종로구 동숭동,일반 슈퍼마켓,롯데마트999,과자(스낵),[오리온]포카칩 오리지날,1300 
종로구 동숭동,일반 슈퍼마켓,롯데마트999,껌,[롯데제과]자일리톨 오리지날,4290 
종로구 동숭동,일반 슈퍼마켓,롯데마트999,아이스크림,[빙그레]투게더 바닐라맛,7090 
종로구 동숭동,일반 슈퍼마켓,롯데마트999,아이스크림,[롯데제과]월드콘,990 
종로구 동숭동,일반 슈퍼마켓,롯데마트999,아이스크림,[빙그레]메로나,700 
종로구 동숭동,일반 슈퍼마켓,롯데마트999,밀가루,[CJ제일제당]백설 밀가루 중력분(다목적용),1790 
종로구 동숭동,일반 슈퍼마켓,롯데마트999,밀가루,[대한제분]곰표 밀가루 중력분(다목적용),1890 
종로구 동숭동,일반 슈퍼마켓,롯데마트999,라면,[농심]신라면,3790 
종로구 동숭동,일반 슈퍼마켓,롯데마트999,라면,[삼양식품]삼양라면,3520 
종로구 동숭동,일반 슈퍼마켓,롯데마트999,라면,[오뚜기]진라면 순한맛,3100 
종로구 동숭동,일반 슈퍼마켓,롯데마트999,즉석밥,[CJ제일제당]햇반,1980 
종로구 동숭동,일반 슈퍼마켓,롯데마트999,즉석밥,[오뚜기]맛있는 오뚜기밥,2990 
종로구 동숭동,일반 슈퍼마켓,롯데마트999,시리얼,[동서식품]포스트 콘푸라이트,4490 
종로구 동숭동,일반 슈퍼마켓,롯데마트999,두부,[풀무원]국산콩 두부 부침용,5290 
종로구 동숭동,일반 슈퍼마켓,롯데마트999,두부,[CJ제일제당]행복한콩 노릇하게 잘 구워지는 부침두부,1690 
종로구 동숭동,일반 슈퍼마켓,롯데마트999,냉동만두,[해태제과]얇은피 고향만두,6990 
종로구 동숭동,일반 슈퍼마켓,롯데마트999,냉동만두,[CJ제일제당]비비고 왕교자,8990 
종로구 동숭동,일반 슈퍼마켓,롯데마트999,설탕,[CJ제일제당]백설 하얀설탕,2050 
종로구 동숭동,일반 슈퍼마켓,롯데마트999,설탕,[CJ제일제당]백설 자일로스 하얀설탕,4490 
종로구 동숭동,일반 슈퍼마켓,롯데마트999,고추장,[대상]청정원 순창 100% 현미 태양초 찰고추장,10300 
종로구 동숭동,일반 슈퍼마켓,롯데마트999,된장,[CJ제일제당]해찬들 담백한 재래식 된장,5990 
종로구 동숭동,일반 슈퍼마켓,롯데마트999,된장,[대상]청정원 순창 재래식 생된장,5490 
종로구 동숭동,일반 슈퍼마켓,롯데마트999,쌈장,[CJ제일제당]해찬들 사계절 쌈장,4990 
종로구 동숭동,일반 슈퍼마켓,롯데마트999,쌈장,[대상]청정원 순창 양념듬뿍 쌈장,4450 
종로구 동숭동,일반 슈퍼마켓,롯데마트999,식용유,[CJ제일제당]백설 콩100%로 국내에서 만든 콩기름,7990 
종로구 동숭동,일반 슈퍼마켓,롯데마트999,식용유,[사조해표]식용유 콩기름,6490 
종로구 동숭동,일반 슈퍼마켓,롯데마트999,간장,[샘표식품]양조간장 501,13550 
종로구 동숭동,일반 슈퍼마켓,롯데마트999,간장,[샘표식품]진간장 금F3,6990 
종로구 동숭동,일반 슈퍼마켓,롯데마트999,케첩,[오뚜기]토마토 케찹,2710 
종로구 동숭동,일반 슈퍼마켓,롯데마트999,마요네즈,[오뚜기]고소한 골드 마요네즈,4990 
